Term                           IDF                           
причаливать                    1.699                         
металлоидный                   1.699                         
прошить                        1.699                         
дырочка                        1.699                         
двухмиллионный                 1.699                         
аномалия                       1.301                         
полсантиметра                  1.699                         
курение                        1.699                         
компонент                      1.5229                        
зернистый                      1.699                         
текстура                       1.699                         
отлепиться                     1.699                         
высветить                      1.699                         
пружинистый                    1.699                         
вмятина                        1.699                         
кружочек                       1.699                         
залатать                       1.699                         
газообразующий                 1.699                         
батарея                        1.699                         
барахлить                      1.699                         
кисло                          1.699                         
отметина                       1.699                         
заделывать                     1.699                         
рассеиваться                   1.5229                        
метровый                       1.699                         
соскрести                      1.699                         
окрыситься                     1.699                         
фальшивый                      1.3979                        
сюсюканье                      1.699                         
сроду                          1.699                         
прогиб                         1.699                         
оплавление                     1.699                         
разгладить                     1.5229                        
спасательный                   1.699                         
проживание                     1.699                         
маневрирование                 1.699                         
продовольствие                 1.5229                        
центробежный                   1.5229                        
отскакивать                    1.699                         
задевать                       1.5229                        
завращаться                    1.699                         
волчком                        1.699                         
интерьер                       1.699                         
поднатаскаться                 1.699                         
тошнота                        1.5229                        
астротошнота                   1.699                         
рвота                          1.699                         
шаровидный                     1.699                         
жуть                           1.699                         
позеленеть                     1.699                         
прогрызть                      1.699                         
приборчик                      1.699                         
диссидент                      1.699                         
изобретательный                1.699                         
подключиться                   1.699                         
космофил                       1.699                         
вырубить                       1.699                         
обосновать                     1.5229                        
приклеиться                    1.5229                        
выесть                         1.699                         
герметизировать                1.699                         
герметизация                   1.699                         
регенерация                    1.2218                        
замолотить                     1.699                         
нескоординированный            1.699                         
обзывать                       1.699                         
фрагментарно                   1.699                         
разъединиться                  1.699                         
разгром                        1.699                         
балка                          1.699                         
изъесть                        1.699                         
термит                         1.699                         
приглядеться                   1.699                         
разорение                      1.699                         
запчасть                       1.699                         
саморемонт                     1.699                         
недостача                      1.699                         
покрутить                      1.3979                        
алюминий                       1.699                         
торец                          1.699                         
проесть                        1.699                         
ремонтировать                  1.5229                        
отторгнуть                     1.699                         
негодный                       1.5229                        
запрограммировать              1.699                         
жизнеподобный                  1.699                         
микрокомпьютер                 1.699                         
высокоразвитый                 1.5229                        
обрубить                       1.699                         
авторучка                      1.699                         
краешек                        1.5229                        
выплывать                      1.699                         
инерция                        1.5229                        
кармашек                       1.699                         
мерещиться                     1.699                         
беспорядочный                  1.5229                        
подпрыгнуть                    1.5229                        
прокладывать                   1.699                         
проедать                       1.699                         
столбик                        1.699                         
сигаретный                     1.699                         
аморфный                       1.699                         
прилипнуть                     1.699                         
червь                          1.699                         
обмякнуть                      1.699                         
продырявить                    1.699                         
подплыть                       1.699                         
пнуть                          1.699                         
сальто                         1.5229                        
стукнуться                     1.699                         
раздавить                      1.699                         
промахнуться                   1.5229                        
дециметр                       1.699                         
размножение                    1.699                         
содрать                        1.699                         
впрямь                         1.699                         
вирусолог                      1.699                         
нуклеиновый                    1.5229                        
протеиновый                    1.699                         
энзима                         1.699                         
продырявливать                 1.699                         
мембрана                       1.699                         
умудряться                     1.3979                        
дочерний                       1.699                         
выискивать                     1.5229                        
расплавлять                    1.699                         
руда                           1.699                         
аппетитный                     1.699                         
распространение                1.5229                        
эволюционировать               1.699                         
паразитический                 1.699                         
инвазия                        1.699                         
толща                          1.699                         
прикончить                     2.0                           
пространно                     2.0                           
промахиваться                  2.0                           
приспособиться                 2.0                           
автоматизированный             1.699                         
поубивать                      2.0                           
сожрать                        2.0                           
вымотаться                     2.0                           
парна                          2.0                           
невыполнимый                   2.0                           
детище                         1.5229                        
подлатать                      2.0                           
воспрепятствовать              2.0                           
бескрайний                     2.0                           
поживиться                     2.0                           
корм                           2.0                           
оснастить                      1.5229                        
юнивак                         2.0                           
яснеть                         1.3979                        
богиня                         1.5229                        
легенда                        1.699                         
потоп                          1.699                         
грешный                        1.699                         
выродиться                     1.5229                        
вырождаться                    1.5229                        
злодеяние                      1.699                         
умирание                       1.5229                        
ротор                          0.5376                        
ковчег                         1.5229                        
марлен                         0.5528                        
полетать                       1.5229                        
небезопасный                   1.699                         
одёргивать                     1.699                         
фальшь                         1.699                         
эритро                         0.585                         
роториана                      0.585                         
оринель                        1.0969                        
колледж                        1.3979                        
толстенький                    1.699                         
мегас                          1.0458                        
мегаснуть                      1.301                         
скованно                       1.699                         
скованность                    1.699                         
грассировать                   1.699                         
теплеть                        1.699                         
раскисать                      1.699                         
напутешествоваться             1.699                         
инсигна                        0.6778                        
фишер                          0.6198                        
путешественница                1.699                         
смешок                         1.5229                        
перенаселить                   1.1549                        
трагедия                       1.301                         
мамочка                        1.699                         
долоретта                      1.5229                        
дылда                          1.699                         
попусту                        1.3979                        
порой                          1.301                         
противно                       1.699                         
замяться                       1.5229                        
впросак                        1.699                         
негодующий                     1.2218                        
фильм                          1.1549                        
разболтаться                   1.699                         
неловкость                     1.301                         
прорезаться                    1.5229                        
юджиния                        0.5686                        
обозримый                      1.5229                        
неорганизованность             1.699                         
катаклизм                      1.699                         
разрушительный                 1.699                         
подарить                       1.699                         
мирок                          1.699                         
упорядочить                    1.5229                        
юджинии                        0.6383                        
тяга                           1.3979                        
кнопочный                      1.699                         
приколоть                      1.699                         
пампас                         1.5229                        
запланировать                  1.699                         
поморщиться                    1.2218                        
марлена                        0.7447                        
выгладить                      1.699                         
самовлюблённый                 1.699                         
толстушка                      1.5229                        
подросток                      1.0969                        
мадам                          1.301                         
вбить                          1.699                         
фантастический                 1.5229                        
джэйнус                        0.8239                        
питта                          0.585                         
комиссар                       0.7959                        
сократить                      1.301                         
отбор                          1.5229                        
отлив                          1.699                         
удлинённый                     1.699                         
секретность                    1.2218                        
сочинять                       1.1549                        
толстоватый                    1.699                         
неминуемо                      1.5229                        
выплеск                        1.699                         
сантименты                     1.5229                        
осваивать                      1.301                         
замыкаться                     1.3979                        
первоочередной                 1.699                         
памятный                       1.699                         
предсказывать                  1.699                         
разработка                     1.0                           
перенос                        1.301                         
гиперсодействие                0.6576                        
экологический                  1.3979                        
отдаляться                     1.5229                        
сужаться                       1.699                         
занесение                      1.5229                        
штамм                          1.699                         
уклад                          1.699                         
уподобиться                    1.5229                        
одуванчик                      1.699                         
последователь                  1.699                         
подчас                         1.699                         
перец                          1.699                         
расставание                    1.5229                        
обжитой                        1.699                         
ворох                          1.699                         
натиск                         1.699                         
вникать                        1.699                         
развернуться                   1.699                         
сверхузкий                     1.699                         
пошатнуть                      1.699                         
перепроверить                  1.699                         
связно                         1.699                         
кратко                         1.699                         
проксим                        1.0458                        
четыреста                      1.5229                        
банально                       1.699                         
астрономия                     1.0458                        
саркастичный                   2.0                           
пылевой                        1.3979                        
девятнадцатый                  2.0                           
полушарие                      1.2218                        
сфотографировать               1.699                         
затенить                       2.0                           
параллакс                      1.301                         
удаление                       1.2218                        
интервал                       2.0                           
двумерный                      2.0                           
астроном                       0.7959                        
анналы                         2.0                           
первооткрыватель               1.5229                        
приоритет                      1.3979                        
соблазнительно                 2.0                           
рискованно                     1.699                         
домосед                        2.0                           
крайла                         0.5686                        
созвездие                      1.699                         
приемлемый                     1.5229                        
экологически                   2.0                           
скапливаться                   2.0                           
благоприятный                  1.301                         
переселиться                   1.1549                        
обосноваться                   0.9586                        
недоумевающе                   1.5229                        
строительный                   1.5229                        
просторно                      2.0                           
индивидуальный                 2.0                           
плановый                       2.0                           
расходоваться                  2.0                           
неосуществимый                 1.699                         
гипнотически                   2.0                           
запоздать                      2.0                           
строительство                  1.0                           
немезида                       1.1549                        
древнегреческий                2.0                           
нарицательный                  2.0                           
кометный                       2.0                           
подтвердиться                  1.699                         
взбрести                       2.0                           
предзнаменование               1.5229                        
побаиваться                    2.0                           
ощутимый                       1.5229                        
примешиваться                  2.0                           
материнский                    1.699                         
диковатый                      2.0                           
малорослый                     2.0                           
удерживаться                   1.699                         
толстуха                       2.0                           
изящество                      1.5229                        
пассивный                      2.0                           
тонко                          2.0                           
робеть                         2.0                           
притягательный                 2.0                           
проглатывать                   2.0                           
непохожий                      1.699                         
винить                         1.3979                        
ровесница                      2.0                           
поглупеть                      2.0                           
глупеть                        2.0                           
взрослеть                      1.699                         
непостижимый                   2.0                           
непроизвольный                 1.5229                        
купол                          1.301                         
наказать                       1.3979                        
ранимый                        2.0                           
булавочный                     2.0                           
укол                           2.0                           
рана                           2.0                           
заживать                       2.0                           
уточнять                       1.5229                        
изъять                         2.0                           
идеализироваться               2.0                           
цивилизованный                 2.0                           
роторианина                    1.301                         
ореол                          2.0                           
целеустремлённый               2.0                           
мужественность                 2.0                           
аспирантка                     2.0                           
специализироваться             1.699                         
иммиграция                     2.0                           
вводиться                      2.0                           
гарантироваться                2.0                           
комфортабельный                1.699                         
прекращение                    1.699                         
баланс                         2.0                           
прилетать                      1.5229                        
обеззараживание                1.699                         
невнимательный                 1.699                         
иммиграционный                 2.0                           
крайле                         1.5229                        
зарабатывать                   2.0                           
роторианка                     1.5229                        
расстроиться                   1.5229                        
обручение                      2.0                           
бракосочетание                 2.0                           
самообразование                2.0                           
позорный                       1.699                         
разуметься                     1.1549                        
вставлять                      2.0                           
ответственный                  1.699                         
полушутливо                    1.699                         
расценить                      1.699                         
роторианский                   1.0458                        
возмущаться                    2.0                           
мелочность                     2.0                           
несогласие                     2.0                           
значащий                       1.5229                        
будни                          2.0                           
соблазн                        1.3979                        
засекречивание                 1.699                         
упоминаться                    1.3979                        
похвастать                     2.0                           
поиграть                       1.699                         
жестянщик                      2.0                           
сторонница                     1.699                         
авантюра                       1.699                         
аморальный                     2.0                           
питтом                         1.0                           
оттачивать                     2.0                           
повторно                       2.0                           
возлагаться                    1.699                         
никой                          2.0                           
пыл                            1.699                         
подучить                       2.0                           
рекомендовать                  1.5229                        
ужасающий                      1.699                         
скученность                    2.0                           
ожесточённость                 2.0                           
страшиться                     1.699                         
микрофлора                     2.0                           
микрофауна                     2.0                           
посредством                    2.0                           
околомарсовый                  1.5229                        
околопланетный                 2.0                           
зародыш                        2.0                           
улетучиваться                  1.699                         
рискованный                    1.301                         
крайлом                        1.3979                        
разобщить                      2.0                           
взаимопонимание                2.0                           
отсрочка                       1.3979                        
неизгладимый                   2.0                           
очаровать                      1.699                         
претендент                     2.0                           
злорадствовать                 2.0                           
вероломство                    2.0                           
референдум                     2.0                           
энтузиаст                      2.0                           
незнаемый                      2.0                           
самум                          2.0                           
метель                         2.0                           
мистраль                       2.0                           
завывать                       1.699                         
ураган                         1.3979                        
жарко                          2.0                           
возлагать                      2.0                           
переступать                    1.699                         
манеж                          2.0                           
дочурка                        2.0                           
компенсировать                 1.5229                        
смягчиться                     1.5229                        
недвусмысленно                 1.301                         
упорный                        2.0                           
завистливый                    2.0                           
недостроенный                  1.699                         
небытие                        1.699                         
глазёнки                       2.0                           
затхлый                        2.0                           
вонючий                        2.0                           
заживо                         2.0                           
разлагаться                    1.699                         
упрашивать                     2.0                           
разболтать                     1.699                         
постыдный                      1.699                         
утаивать                       2.0                           
неисправимый                   1.301                         
немигающий                     1.699                         
хохотунья                      2.0                           
вспылить                       2.0                           
вскипать                       1.5229                        
озлобление                     2.0                           
безуспешно                     1.5229                        
безжалостно                    1.5229                        
показной                       2.0                           
компенсация                    2.0                           
утаить                         1.5229                        
обессмертить                   2.0                           
спешный                        2.0                           
град                           2.0                           
уплотнить                      2.0                           
принципиально                  1.5229                        
теоретический                  1.301                         
утихать                        2.0                           
сырьё                          2.0                           
избороздить                    1.699                         
двоить                         1.699                         
символичный                    2.0                           
проксима                       2.0                           
эллиптический                  2.0                           
пылев                          1.699                         
смещаться                      2.0                           
сдвиг                          1.699                         
сближаться                     1.699                         
замедляться                    1.699                         
спектроскопический             1.699                         
терминал                       2.0                           
забивать                       2.0                           
охрипнуть                      1.699                         
недоуменный                    1.699                         
отмахиваться                   2.0                           
сблизиться                     1.3979                        
гиперсигнал                    2.0                           
микроволновый                  1.699                         
пучок                          2.0                           
модулировать                   2.0                           
нейтрино                       2.0                           
когерентный                    2.0                           
удосужиться                    1.5229                        
однородный                     1.5229                        
загодя                         2.0                           
утвердить                      2.0                           
единоличный                    1.699                         
заблагорассудиться             1.699                         
текущий                        2.0                           
приступать                     2.0                           
мучиться                       1.5229                        
молли                          1.5229                        
уменьшительный                 2.0                           
перекашиваться                 2.0                           
поджиматься                    2.0                           
неприемлемый                   1.699                         
обсерваторский                 2.0                           
мечтание                       1.5229                        
звездоподобный                 2.0                           
синтез                         2.0                           
нагреть                        2.0                           
умеренный                      1.699                         
испускать                      1.699                         
детально                       1.301                         
мегасом                        1.3979                        
приливный                      1.5229                        
циркуляция                     2.0                           
перепад                        1.699                         
нагреться                      2.0                           
каление                        2.0                           
отодвигаться                   2.0                           
облизывать                     2.0                           
околосолнечный                 1.699                         
пренебречь                     1.5229                        
венера                         1.699                         
эксцентричность                2.0                           
уравновешивать                 2.0                           
уничтожаться                   2.0                           
таяние                         2.0                           
равновесный                    2.0                           
трудоёмкий                     2.0                           
неучтённый                     2.0                           
отстоять                       1.5229                        
покинутый                      1.699                         
опустелый                      2.0                           
прародина                      2.0                           
жительница                     2.0                           
прапрабабушка                  2.0                           
прапрадедушка                  2.0                           
прабабушка                     2.0                           
голограмма                     1.699                         
неполный                       1.5229                        
очерчивать                     2.0                           
своенравный                    1.699                         
неконтролируемый               2.0                           
пассивность                    2.0                           
втиснуть                       1.699                         
упадок                         2.0                           
сигнальный                     2.0                           
лампочка                       2.0                           
деблокировать                  2.0                           
гаранд                         1.3979                        
уайлера                        1.3979                        
белоснежок                     1.699                         
гном                           2.0                           
фальшивка                      1.699                         
опрашивать                     1.699                         
вынюхивать                     2.0                           
вышвырнуть                     2.0                           
роторианин                     1.699                         
подпускать                     1.699                         
головидение                    1.301                         
гиена                          2.0                           
засекретить                    1.301                         
шифровать                      2.0                           
околоземный                    1.5229                        
установиться                   1.5229                        
досье                          1.699                         
роза                           2.0                           
розанна                        1.301                         
вожак                          2.0                           
блюститель                     2.0                           
ворошить                       2.0                           
обучиться                      2.0                           
программирование               1.3979                        
сносный                        1.699                         
стрельба                       2.0                           
посылка                        2.0                           
необъятный                     1.699                         
благоговеть                    2.0                           
вторично                       1.699                         
разрываться                    2.0                           
путать                         1.699                         
опрос                          1.699                         
провалить                      2.0                           
опровергнуть                   1.3979                        
церер                          2.0                           
подстегнуть                    2.0                           
прыгать                        1.699                         
заклад                         2.0                           
выкраиваться                   2.0                           
отрешиться                     2.0                           
инспектировать                 2.0                           
переубеждать                   2.0                           
поощрять                       2.0                           
дальновидный                   2.0                           
крепость                       2.0                           
всегалактический               2.0                           
честолюбивый                   1.699                         
завещать                       2.0                           
дальновидность                 2.0                           
утонуть                        1.3979                        
посредственность               2.0                           
обживать                       2.0                           
плодиться                      2.0                           
размножаться                   1.301                         
рождаемость                    2.0                           
ограниченность                 1.5229                        
арифметик                      2.0                           
удваиваться                    2.0                           
максимум                       1.5229                        
джинн                          2.0                           
загнать                        2.0                           
чередоваться                   2.0                           
своеобразие                    2.0                           
лучистый                       1.5229                        
превосходить                   1.3979                        
повышать                       1.5229                        
восходить                      2.0                           
затмение                       1.5229                        
компенсироваться               2.0                           
рассеивать                     1.699                         
диапазон                       1.1549                        
мегасу                         1.5229                        
пригодность                    2.0                           
диоксид                        1.699                         
от                             2.0                           
орда                           2.0                           
сиюминутный                    1.699                         
прихлопнуть                    2.0                           
комар                          2.0                           
термодинамика                  1.699                         
парение                        2.0                           
грунт                          1.301                         
